Date,WIG20_price,WIG20_volume,WIG20_change
10/03/2023,"1,799.58",16.07M,-1.98%
09/03/2023,"1,835.94",10.60M,-1.34%
08/03/2023,"1,860.83",12.13M,0.40%
07/03/2023,"1,853.40",12.94M,-1.08%
06/03/2023,"1,873.63",13.15M,1.73%
03/03/2023,"1,841.85",12.69M,1.32%
02/03/2023,"1,817.77",16.03M,-2.07%
01/03/2023,"1,856.22",15.26M,0.45%
28/02/2023,"1,847.94",27.05M,1.49%
27/02/2023,"1,820.79",8.39M,0.75%
24/02/2023,"1,807.31",11.54M,-0.96%
23/02/2023,"1,824.76",13.12M,1.55%
22/02/2023,"1,796.87",17.93M,-1.59%
21/02/2023,"1,825.89",14.63M,-1.28%
20/02/2023,"1,849.48",9.56M,-0.53%
17/02/2023,"1,859.26",14.93M,-0.34%
16/02/2023,"1,865.51",18.65M,-0.24%
15/02/2023,"1,870.03",11.20M,0.94%
14/02/2023,"1,852.67",12.57M,-0.03%
13/02/2023,"1,853.29",13.48M,0.28%
10/02/2023,"1,848.04",19.72M,-2.54%
09/02/2023,"1,896.24",12.17M,0.51%
08/02/2023,"1,886.68",13.40M,0.85%
07/02/2023,"1,870.87",14.14M,0.33%
06/02/2023,"1,864.76",15.98M,-2.17%
03/02/2023,"1,906.13",18.91M,0.12%
02/02/2023,"1,903.79",26.01M,1.70%
01/02/2023,"1,871.93",22.20M,-1.59%
31/01/2023,"1,902.25",24.13M,0.66%
30/01/2023,"1,889.82",15.59M,-1.13%
27/01/2023,"1,911.50",16.29M,-0.01%
26/01/2023,"1,911.61",16.71M,1.35%
25/01/2023,"1,886.24",19.47M,-1.69%
24/01/2023,"1,918.60",18.02M,-0.24%
23/01/2023,"1,923.15",18.78M,1.63%
20/01/2023,"1,892.32",21.74M,0.13%
19/01/2023,"1,889.84",31.49M,-1.22%
18/01/2023,"1,913.25",33.79M,0.46%
17/01/2023,"1,904.51",19.45M,-1.48%
16/01/2023,"1,933.08",18.39M,0.50%
13/01/2023,"1,923.44",18.13M,-0.38%
12/01/2023,"1,930.79",32.88M,0.84%
11/01/2023,"1,914.74",25.92M,-1.20%
10/01/2023,"1,937.98",25.04M,1.33%
09/01/2023,"1,912.47",33.64M,3.04%
05/01/2023,"1,856.05",28.21M,0.05%
04/01/2023,"1,855.05",19.72M,1.66%
03/01/2023,"1,824.82",22.12M,1.86%
02/01/2023,"1,791.47",5.34M,-0.03%
30/12/2022,"1,792.01",9.00M,-0.57%
29/12/2022,"1,802.20",10.65M,1.94%
28/12/2022,"1,767.88",10.00M,0.11%
27/12/2022,"1,765.87",6.45M,-0.81%
23/12/2022,"1,780.27",8.03M,0.01%
22/12/2022,"1,780.07",10.58M,-0.34%
21/12/2022,"1,786.10",15.19M,1.30%
20/12/2022,"1,763.20",12.41M,1.14%
19/12/2022,"1,743.24",12.35M,0.11%
16/12/2022,"1,741.30",41.76M,-0.87%
15/12/2022,"1,756.52",18.70M,-1.73%
14/12/2022,"1,787.37",17.00M,0.15%
13/12/2022,"1,784.67",22.17M,1.67%
12/12/2022,"1,755.34",14.74M,1.46%
09/12/2022,"1,730.16",15.02M,0.26%
08/12/2022,"1,725.66",14.82M,-0.58%
07/12/2022,"1,735.66",14.51M,0.12%
06/12/2022,"1,733.59",15.85M,-0.74%
05/12/2022,"1,746.54",14.52M,0.75%
02/12/2022,"1,733.46",27.96M,-1.86%
01/12/2022,"1,766.38",34.26M,1.73%
30/11/2022,"1,736.26",127.49M,0.00%
29/11/2022,"1,736.19",27.85M,0.43%
28/11/2022,"1,728.74",19.48M,-1.54%
25/11/2022,"1,755.69",15.61M,0.10%
24/11/2022,"1,753.95",19.39M,2.35%
23/11/2022,"1,713.61",19.22M,-0.24%
22/11/2022,"1,717.75",18.18M,1.91%
21/11/2022,"1,685.50",20.86M,-1.27%
18/11/2022,"1,707.23",21.00M,-0.06%
17/11/2022,"1,708.23",25.41M,-1.89%
16/11/2022,"1,741.17",26.92M,-1.60%
15/11/2022,"1,769.55",28.30M,1.47%
14/11/2022,"1,743.89",39.85M,3.17%
10/11/2022,"1,690.38",26.89M,2.81%
09/11/2022,"1,644.12",19.88M,-0.04%
08/11/2022,"1,644.75",19.91M,1.64%
07/11/2022,"1,618.14",32.83M,1.05%
04/11/2022,"1,601.27",28.79M,2.68%
03/11/2022,"1,559.55",21.91M,-0.92%
02/11/2022,"1,573.97",31.27M,2.45%
31/10/2022,"1,536.28",25.37M,1.83%
28/10/2022,"1,508.70",49.19M,0.13%
27/10/2022,"1,506.74",32.52M,1.29%
26/10/2022,"1,487.60",26.96M,3.02%
25/10/2022,"1,444.02",28.56M,0.75%
24/10/2022,"1,433.21",21.88M,1.53%
21/10/2022,"1,411.62",19.44M,-1.04%
20/10/2022,"1,426.52",34.18M,2.06%
19/10/2022,"1,397.66",23.56M,-2.10%
18/10/2022,"1,427.68",32.71M,0.96%
17/10/2022,"1,414.06",18.74M,1.20%
14/10/2022,"1,397.23",30.20M,2.85%
13/10/2022,"1,358.50",34.53M,-1.36%
12/10/2022,"1,377.19",30.59M,-0.34%
11/10/2022,"1,381.84",22.46M,0.17%
10/10/2022,"1,379.49",22.17M,-1.83%
07/10/2022,"1,405.21",19.81M,-0.89%
06/10/2022,"1,417.82",22.06M,-0.09%
05/10/2022,"1,419.12",19.37M,-2.12%
04/10/2022,"1,449.81",28.54M,4.53%
03/10/2022,"1,386.96",22.66M,0.66%
30/09/2022,"1,377.91",30.71M,-0.16%
29/09/2022,"1,380.10",28.90M,-3.85%
28/09/2022,"1,435.37",27.63M,-1.61%
27/09/2022,"1,458.81",24.47M,1.80%
26/09/2022,"1,433.08",33.98M,-1.69%
23/09/2022,"1,457.78",20.61M,-3.98%
22/09/2022,"1,518.19",16.19M,0.59%
21/09/2022,"1,509.32",18.51M,0.80%
20/09/2022,"1,497.41",18.77M,-1.95%
19/09/2022,"1,527.25",20.05M,1.69%
16/09/2022,"1,501.91",65.98M,-2.46%
15/09/2022,"1,539.75",21.70M,0.75%
14/09/2022,"1,528.29",20.37M,0.59%
13/09/2022,"1,519.35",20.72M,-2.73%
12/09/2022,"1,561.97",22.47M,1.78%
09/09/2022,"1,534.68",24.75M,4.17%
08/09/2022,"1,473.18",23.89M,0.26%
07/09/2022,"1,469.42",26.61M,1.14%
06/09/2022,"1,452.86",21.56M,-2.63%
05/09/2022,"1,492.06",17.62M,-0.91%
02/09/2022,"1,505.75",35.76M,2.95%
01/09/2022,"1,462.59",32.44M,-4.29%
31/08/2022,"1,528.22",49.11M,-0.45%
30/08/2022,"1,535.11",22.57M,-2.43%
29/08/2022,"1,573.35",21.69M,-1.84%
26/08/2022,"1,602.81",22.81M,-1.79%
25/08/2022,"1,632.00",26.24M,0.70%
24/08/2022,"1,620.63",21.71M,-2.18%
23/08/2022,"1,656.77",34.80M,1.02%
22/08/2022,"1,640.02",18.51M,-1.99%
19/08/2022,"1,673.40",22.24M,-1.55%
18/08/2022,"1,699.68",17.69M,1.00%
17/08/2022,"1,682.93",19.93M,-3.00%
16/08/2022,"1,735.00",19.65M,0.00%
12/08/2022,"1,735.07",16.55M,0.58%
11/08/2022,"1,724.98",15.94M,1.82%
10/08/2022,"1,694.11",19.88M,0.59%
09/08/2022,"1,684.14",18.16M,-0.69%
08/08/2022,"1,695.78",17.11M,2.64%
05/08/2022,"1,652.14",20.53M,-1.33%
04/08/2022,"1,674.37",27.14M,-0.81%
03/08/2022,"1,688.03",26.68M,-1.49%
02/08/2022,"1,713.61",20.93M,-1.32%
01/08/2022,"1,736.47",17.73M,0.89%
29/07/2022,"1,721.11",35.26M,3.24%
28/07/2022,"1,667.17",43.98M,0.93%
27/07/2022,"1,651.89",24.17M,-0.17%
26/07/2022,"1,654.70",18.82M,-1.83%
25/07/2022,"1,685.62",14.53M,-0.95%
22/07/2022,"1,701.73",19.75M,1.11%
21/07/2022,"1,683.09",17.54M,-0.68%
20/07/2022,"1,694.58",18.26M,0.91%
19/07/2022,"1,679.27",15.73M,0.59%
18/07/2022,"1,669.48",17.50M,3.05%
15/07/2022,"1,620.13",14.35M,0.38%
14/07/2022,"1,613.98",22.61M,-2.52%
13/07/2022,"1,655.65",21.09M,-0.47%
12/07/2022,"1,663.46",21.79M,-2.98%
