Date,Open,High,Low,Close,Volume
12/03/2024,"239.81","242.76","238.90","242.65","38,861,020"
12/02/2024,"237.27","240.79","237.16","239.59","48,137,102"
11/29/2024,"234.81","237.81","233.97","237.33","28,481,381"
11/27/2024,"234.47","235.69","233.81","234.93","33,498,441"
11/26/2024,"233.33","235.57","233.33","235.06","45,986,191"
11/25/2024,"231.46","233.25","229.74","232.87","90,152,828"
11/22/2024,"228.06","230.72","228.06","229.87","38,168,246"
11/21/2024,"228.88","230.16","225.71","228.52","42,108,328"
11/20/2024,"228.06","229.93","225.89","229.00","35,169,566"
11/19/2024,"226.98","230.16","226.66","228.28","36,211,770"
11/18/2024,"225.25","229.74","225.17","228.02","44,686,020"
11/15/2024,"226.40","226.92","224.27","225.00","47,923,699"
11/14/2024,"225.02","228.87","225.00","228.22","44,923,941"
11/13/2024,"224.01","226.65","222.76","225.12","48,566,219"
11/12/2024,"224.55","225.59","223.36","224.23","40,398,301"
11/11/2024,"225.00","225.70","221.50","224.23","42,005,602"
11/08/2024,"227.17","228.66","226.41","226.96","38,328,820"
11/07/2024,"224.63","227.88","224.57","227.48","42,137,688"
11/06/2024,"222.61","226.07","221.19","222.72","54,561,121"
11/05/2024,"221.80","223.95","221.14","223.45","28,111,340"
11/04/2024,"220.99","222.79","219.71","222.01","44,944,473"
