Date,Open,High,Low,Close,Volume
12/03/2024,"210.31","214.02","209.65","213.44","32,214,830"
12/02/2024,"209.96","212.99","209.51","210.71","39,523,191"
11/29/2024,"205.83","208.20","204.59","207.89","24,892,449"
11/27/2024,"206.98","207.64","205.05","205.74","28,061,641"
11/26/2024,"201.90","208.00","201.79","207.86","41,673,738"
11/25/2024,"199.28","201.95","199.00","201.45","40,685,672"
11/22/2024,"198.25","199.26","196.75","197.12","31,530,840"
11/21/2024,"203.49","203.49","195.75","198.38","58,800,039"
11/20/2024,"202.98","203.13","199.45","202.88","32,768,988"
11/19/2024,"199.33","205.30","198.78","204.61","31,197,869"
11/18/2024,"204.15","204.67","200.95","201.70","36,512,473"
11/15/2024,"206.76","207.34","199.61","202.61","86,591,133"
11/14/2024,"214.16","215.90","210.88","211.48","42,620,312"
11/13/2024,"209.40","215.09","209.14","214.10","46,212,941"
11/12/2024,"208.37","209.54","206.01","208.91","38,942,922"
11/11/2024,"208.50","209.65","205.59","206.84","35,456,008"
11/08/2024,"209.72","209.96","207.44","208.18","36,075,848"
11/07/2024,"207.44","212.25","207.19","210.05","52,878,379"
11/06/2024,"200.01","207.55","199.14","207.09","72,292,172"
11/05/2024,"196.04","199.82","195.99","199.50","30,564,779"
11/04/2024,"196.45","197.33","194.31","195.78","38,492,059"
