Date,Open,High,Low,Close,Volume
12/03/2024,"173.12","174.32","172.51","173.02","15,721,480"
12/02/2024,"170.32","173.60","170.27","172.98","16,593,439"
11/29/2024,"170.06","170.87","168.75","170.49","9,250,712"
11/27/2024,"170.68","171.14","169.67","170.82","12,433,370"
11/26/2024,"169.49","171.50","169.43","170.62","14,937,480"
11/25/2024,"167.99","170.46","167.40","169.43","21,395,650"
11/22/2024,"167.16","168.26","165.71","166.57","24,497,039"
11/21/2024,"175.46","175.58","165.31","169.24","38,839,434"
11/20/2024,"178.83","179.11","175.33","177.33","15,729,810"
11/19/2024,"175.24","180.17","175.12","179.58","15,392,870"
11/18/2024,"174.96","176.91","174.42","176.80","18,725,420"
11/15/2024,"175.64","175.88","172.75","173.89","21,708,869"
11/14/2024,"179.75","180.45","176.03","177.35","17,925,760"
11/13/2024,"182.15","182.62","180.12","180.49","13,969,710"
11/12/2024,"181.38","184.03","180.99","183.32","14,065,850"
11/11/2024,"180.07","182.09","179.99","181.97","12,503,420"
11/08/2024,"182.00","182.35","179.57","179.86","15,021,550"
11/07/2024,"179.11","182.58","178.89","182.28","16,730,410"
11/06/2024,"175.35","178.64","175.04","178.33","27,061,510"
11/05/2024,"170.83","172.10","170.37","171.41","12,518,280"
11/04/2024,"171.24","171.92","169.49","170.68","16,193,990"
