Date,Open,High,Low,Close,Volume
12/03/2024,"227.24","229.11","226.67","229.00","3,163,815"
12/02/2024,"227.50","228.38","225.51","227.39","2,656,181"
11/29/2024,"227.75","230.36","227.19","227.41","2,640,253"
11/27/2024,"228.83","229.19","224.27","226.92","2,995,121"
11/26/2024,"226.73","228.98","225.51","228.83","4,449,543"
11/25/2024,"223.35","226.42","222.65","226.13","7,189,260"
11/22/2024,"223.35","227.20","220.89","222.97","5,320,740"
11/21/2024,"215.81","222.63","215.27","222.40","5,236,434"
11/20/2024,"211.00","214.96","209.77","214.60","4,562,901"
11/19/2024,"206.50","210.33","206.19","210.25","2,860,746"
11/18/2024,"207.00","208.42","205.37","208.09","3,406,045"
11/15/2024,"207.46","208.49","204.07","204.99","3,986,460"
11/14/2024,"210.00","210.50","206.35","208.99","6,372,853"
11/13/2024,"209.50","211.41","209.07","210.92","3,247,830"
11/12/2024,"211.90","213.03","209.06","210.86","2,818,216"
11/11/2024,"214.40","215.41","213.48","213.57","3,012,987"
11/08/2024,"214.16","216.70","212.78","213.72","3,201,038"
11/07/2024,"213.64","214.52","211.93","213.69","3,675,812"
11/06/2024,"213.48","214.33","210.37","213.60","3,934,386"
11/05/2024,"206.17","208.12","205.57","207.57","2,441,535"
11/04/2024,"207.65","207.70","205.80","206.32","2,594,119"
