Date,Open,High,Low,Close,Volume
12/03/2024,"351.80","355.69","348.20","351.42","58,267,199"
12/02/2024,"352.38","360.00","351.15","357.09","77,986,477"
11/29/2024,"336.08","345.45","334.65","345.16","37,167,621"
11/27/2024,"341.80","342.55","326.59","332.89","57,896,441"
11/26/2024,"341.00","346.96","335.66","338.23","62,295,859"
11/25/2024,"360.14","361.93","338.20","338.59","95,890,898"
11/22/2024,"341.09","361.53","337.70","352.56","89,140,719"
11/21/2024,"343.81","347.99","335.28","339.64","58,011,719"
11/20/2024,"345.00","346.60","334.30","342.03","66,340,648"
11/19/2024,"335.76","347.38","332.75","346.00","88,852,445"
11/18/2024,"340.73","348.55","330.01","338.74","126,547,508"
11/15/2024,"310.57","324.68","309.22","320.72","114,440,305"
11/14/2024,"327.69","329.98","310.37","311.18","120,726,094"
11/13/2024,"335.85","344.60","322.50","330.24","125,405,602"
11/12/2024,"342.74","345.84","323.31","328.49","155,726,000"
11/11/2024,"346.30","358.64","336.00","350.00","210,521,594"
11/08/2024,"299.14","328.71","297.66","321.22","204,782,797"
11/07/2024,"288.89","299.75","285.52","296.91","117,309,203"
11/06/2024,"284.67","289.59","275.62","288.53","165,228,703"
11/05/2024,"247.34","255.28","246.21","251.44","69,282,516"
11/04/2024,"244.56","248.90","238.88","242.84","68,802,352"
